NAMESPACE                   NAME                                                                  READY   STATUS                        RESTARTS          AGE
kube-system                 pod/cilium-envoy-6978j                                                1/1     Running                       24 (46h ago)      26d
kube-system                 pod/cilium-envoy-klglp                                                1/1     Running                       10 (46h ago)      26d
kube-system                 pod/cilium-envoy-rxnpk                                                1/1     Running                       7 (46h ago)       18d
kube-system                 pod/cilium-fh2db                                                      1/1     Running                       20 (46h ago)      26d
kube-system                 pod/cilium-hfk5z                                                      1/1     Running                       2 (46h ago)       8d
kube-system                 pod/cilium-operator-f6c85d9b8-hfhk2                                   1/1     Running                       400 (13m ago)     14d
kube-system                 pod/cilium-stb6t                                                      1/1     Running                       21 (46h ago)      26d
kube-system                 pod/coredns-6b44d4d45b-vcnhj                                          1/1     Running                       2 (46h ago)       8d
kube-system                 pod/coredns-6b44d4d45b-zrb9w                                          1/1     Running                       2 (46h ago)       8d
kube-system                 pod/descheduler-29481360-j7mtk                                        0/1     Completed                     0                 10h
kube-system                 pod/descheduler-29481600-kbbkf                                        0/1     Completed                     0                 6h8m
kube-system                 pod/descheduler-29481840-4c76c                                        0/1     Completed                     0                 128m
kube-system                 pod/hubble-relay-5bd475f8d9-2lj4k                                     0/1     Error                         1                 14d
kube-system                 pod/hubble-relay-5bd475f8d9-lzjgw                                     1/1     Running                       17 (46h ago)      9d
kube-system                 pod/kube-apiserver-daphne                                             1/1     Running                       0                 46h
kube-system                 pod/kube-apiserver-diva                                               1/1     Running                       0                 46h
kube-system                 pod/kube-apiserver-dulce                                              1/1     Running                       0                 46h
kube-system                 pod/kube-controller-manager-daphne                                    1/1     Running                       27 (13m ago)      46h
kube-system                 pod/kube-controller-manager-diva                                      1/1     Running                       30 (113m ago)     46h
kube-system                 pod/kube-controller-manager-dulce                                     1/1     Running                       28 (18m ago)      46h
kube-system                 pod/kube-scheduler-daphne                                             1/1     Running                       20 (123m ago)     46h
kube-system                 pod/kube-scheduler-diva                                               1/1     Running                       33 (33m ago)      46h
kube-system                 pod/kube-scheduler-dulce                                              1/1     Running                       38 (13m ago)      46h
kube-system                 pod/metrics-server-bb5466999-q9qlp                                    1/1     Running                       2 (46h ago)       8d
kubernetes-dashboard        pod/kubernetes-dashboard-api-8bc99c9f9-nbjqf                          1/1     Running                       0                 15m
kubernetes-dashboard        pod/kubernetes-dashboard-auth-5ccfd65f9-qflks                         1/1     Running                       0                 15m
kubernetes-dashboard        pod/kubernetes-dashboard-kong-5cdfd5ff64-vdndh                        1/1     Running                       1 (46h ago)       8d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-2xhdl                         0/1     Error                         6                 9d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-9sbqz                         0/1     Completed                     0                 9d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-clqn2                         0/1     ContainerStatusUnknown        1                 9d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-jhfsc                         0/1     ContainerStatusUnknown        1                 9d
kubernetes-dashboard        pod/kubernetes-dashboard-kong-f8757b847-jmrd6                         0/1     Completed                     0                 9d
